Laboratoire Mécanique de Sousse,"Pôle technologique de Sousse, Route de Ceinture Sahloul, Sousse 4054",sami.bennour@eniso.u-sousse.tn
Quetratech,Bureau B10 pépiniére d'entreprises Mahdia entreprendre 5100 mahdia,contact@quetratech.com
Sancella,Avenue 18 janvier ksibet el mediouni monastir,houssem.boutara@sancella.com.tn
société tunisienne d'assurances et de réassurances,Square avenue de Paris 1080 - Tunis,contact@star.com.tn
Whitecape Technoloies,Avenue de la république Akouda 4022 Sousse,raja.belhouch@whitecapetech.com
Expert Informatique,"Rue Farid Ghazi Houmt souk 4180 Djerba - MEDENINE, Médenine",belhajwael@gmail.com
Cosider canalisation pôle H31,Route de Mahelma SIDI ABDALLAH_ Alger_ Algérie,cosider.canalisations.h31@gmail.com
OPUS LAB,"Rue Abou baker el bakri, Immeuble Luxor 1, B3.2 3ème étage 1002, Monplaisir",labopus.info@gmail.com
Allence tunisie,residence Babel Montplaisir bloc A-1eretage,hajer.ayari@allencetunisie.com
Leader solution tactile,Avenue hbib bourguiba-Golaa 4234,iyed.chafroud@aureskonnect.com
Screenflex,Cercle des bureau - Bloc B - Bureau N: B112 - Centre Urbain Nord - Tunis,contact@screenflex.pro
Kleos,Djerba houmt-souk,sales@kleos.tn
IOIT,IMM-haj yahya KM2 route de Gabès 4100 Médenine,contact@ioit.tn
Groupe ELAN,"CHEMIN DU FORON, 16 1226 THONEX  CANTON DE GENEVE, SUISSE",contact@groupelan.com
Centre de Developpement des Logiciels et de Formation Continue,Av. Habib Bourguiba résidence elawar N 6 1200 kasserine,cdfdhajali@gmail.com.com
Ixias  (BE 0767.498.939),Avenue des lilas 28 1070 Bruxelles Belgique,akrem.ayadi@ixias.be
Omnidata,"74 Bd Abdelmoumen, Casablanca 20100",contact@medtech.ma
telecom,Rue André Ampére cité Administrative 2080 Ariana,aliazerai@gmail.com
Expensya Tunisie,Rue lac Biwa - Les berges du lac 1053 Tunis,hello@expensya.com
Arab Tunisian Bank,9 Rue Hedi Nouira-,contact@atb.com.tn
Peak Technologies SARL,5ème étage Imm. Nabil 4000 Sousse,Info@peak-cc.com
Jérémy Panouillot,39230 Champrougier France / Skanes Monastir,alpha.green.textile@gmail.com
telecom,tunis,loduviv.compere@neofacto.com
SNCF RESEAU,6  Av François Mitterrand  93574 LA PLAINE ST DENIS CEDEX,alexandra.grandvalet@reseau.sncf.fr
ESIGELEC,ESIGELEC  Technopole du Madrillet  Avenue Galilée – 76800 Saint Etienne du Rouvray,adnane.cabani@esigelec.fr
AMZi Smart Solutions,"Centre Chalekh, 2eme étage, app, El-Mourouj 4, Ben Arous 2074",dr.rouissi@amzi-ss.com
Axe Finance,"La Couverture Building, 3rd Floor, Lac Huron street, Les Berges du Lac, Tunis, Tunis TN-1053, TN",info@axefinance.com
Talan Tunisie,"10 Rue de l'énergie solaire Impasse N°1 Charguia 1, Tunis 2035",jobs.tunisia@talan.com
INHANCE,Av Moez Ibn Badis Résidence Salma Villa 13 Borj louzir Ariana 2036,inhance.commerciale@outlook.com
IODEV,"Immeuble Le 24, Rue Mongi Slim, Sakkiet Ezzit, Sfax 3021, Tunisie",mohamed.kallel@iovision.io
Oddo-bhf Tunis,"Immeuble Sandra Towers, avenue du lac Nord, 1053, les berges du lac, tunisie",faten.fliss@oddo-bhf.com
Smart It Partner,"Chotrana Parc Technologique El Ghazela, Ariana,",ma.mezghich@smart-it-partner.com
Vneuron,4 Rue de l'artisanat - Charguia II - Tunis,rh@vneuron.com
CEDE Labs,"229 rue Saint-Honoré, 75001, France",gabriel.begazo@cedelabs.io
ALTERSIS Performance,Bureau A1-3 GOLDEN TOWERS Centre Urbain Nord - 1080 Tunis – Tunisie,contact@altersis.com
Mentor Graphics - Siemens Business,"Immeuble Fahd, Rue de la feuille d'érable, 5éme étage, les Berges du Lac 2, 1053 - Tunis, Tunisie",hr_egc@mentor.com
hadooc,"131 Av. La liberté, Tunis, Tunis 1002",contact@hadooc.com
"Laboratoire STILL, Ecole de technologie supérieurs (ETS)","1100 rue Notre-Dame Ouest, Montreal, Quebec H3C 1K3, Canada",ali.ouni@estmtl.ca
Alta Via Consulting GmbH,"Kemperplatz 1, 10785 Berlin",info@altavia.de
Startup Factory,Rte Ain KM 1 3003 Sfax,contact@startupfactory.tn
Sagemcom software and Technologies,"24,rue omar el khayem.zonde d'activité kheireddine 2060 -La goulette - tunis",Contact@sagemcom.com
Talan Tunisie Consulting,"10 rue d'Energie Solaire Impasse 1, 2035 Charguia 1",Behjet.boussofara@talan.com
Université Laval,"1050, avenue de la Médecine, Québec (Québec) Canada, G1V0A6",info@ulaval.ca
Oakland University,"318 Meadow Brook Rd, Rochester, MI 48309, United States",kessentini@oakland.edu
M&C IT Consulting,"Tunimara, Rue du Lac de Constance, Tunis 1053",contact@mnc.aero
PwC,"Rue du Lac d'Annecy, Tunis",fatma.khelifi@pwc.com
One TECH Business Solutions a company of One TECH Group,"16 Rue des Entrepreneurs,  Zone Industrielle Charguia 2, 2035 Tunis,TUNISIA",contact.otbs@onetech-group.com
ENSTA Bretagne,"ENSTA Bretagne, 2 rue François Verny, 29806 BREST Cedex 9",jean-pierre.baudu@ensta-bretagne.fr
EURA NOVA,"Zone d'activités Kheireddine Rue Socrate, 6 Les Berges du Lac 3, Tunis 2015",admin@euranova.tn
Siemens - Mentor Graphics Tunisia,"Rue de la  Feuille d’Erable, Lac 2 Tunis.",zied.marrakchi@siemens.com
Université TÉLUQ,"455 rue du Parvis Québec, QC G1K 9H6, Canada",info@teluq.ca
L’Université du Québec en Abitibi-Témiscamingue,"445 Bd de l'Université, Rouyn-Noranda, QC J9X 5E4, CANADA",chahid.ahabchane@uqat.ca
Finlogik Tunisie,"Route Teniour km 2,5 Sfax",recrutementunisie@finlogik.com
Université du Québec à Rimouski,"300, allée des Ursulines, C.P. 3300, succ. A, 300 All. des Ursulines, Rimouski, QC G5L 3A1, Canada",uqar@uqar.qc.ca
wynsys,"Bloc B12, Elgazela Technopark - 2088 Ariana – Tunisie",contactus@wynsys.com
